kanji	on	kun	en	bg
営	えい	いとな.む いとな.み	Occupation | Camp | Perform | Build | Conduct (business)	управлявам | ръководя (бизнес) | лагер | казарма
空	くう	そら あ.く あ.き あ.ける から す.く す.かす むな.しい	Empty | Sky | Void | Vacant | Vacuum	небе | въздух | празен | празнота
職	しょく そく		Post | Employment | Work	служба | работа | длъжност
証	しょう	あかし	Evidence | Proof | Certificate	доказателство | удостоверение | свидетелство
土	ど と	つち	Soil | Earth | Ground | Turkey	почва | земя | събота
与	よ	あた.える あずか.る くみ.する ともに	Bestow | Participate In | Give | Award | Impart | Provide | Cause | Gift | Godsend	давам | предоставям | участвам
急	きゅう	いそ.ぐ いそ.ぎ せ.く	Hurry | Emergency | Sudden | Steep	спешен | бързам | внезапен | стръмен
止	し	と.まる -ど.まり と.める -と.める -ど.め とど.める とど.め とど.まる や.める や.む -や.む よ.す -さ.す -さ.し	Stop | Halt	спирам | прекратявам
送	そう	おく.る	Escort | Send	изпращам | изпращане
援	えん		Abet | Help | Save	помощ | подкрепа | спасявам
供	きょう く くう ぐ	そな.える とも -ども	Submit | Offer | Present | Serve (meal) | Accompany	предлагам | поднасям (ястие) | придружавам
可	か こく	-べ.き -べ.し	Can | Passable | Mustn't | Should Not | Do Not	възможен | мога | одобрявам
役	やく えき		Duty | War | Campaign | Drafted Labor | Office | Service | Role	роля | длъжност | служба
構	こう	かま.える かま.う	Posture | Build | Pretend	строя | изграждам | поза | преструвам се
木	ぼく もく	き こ-	Tree | Wood	дърво | дървесина
割	かつ	わ.る わり わ.り わ.れる さ.く	Proportion | Comparatively | Divide | Cut | Separate | Split	деля | разделям | дял | процент
聞	ぶん もん	き.く き.こえる	Hear | Ask | Listen	чувам | слушам | питам
身	しん	み	Somebody | Person | One's Station In Life	тяло | себе си | обществено положение
費	ひ	つい.やす つい.える	Expense | Cost | Spend | Consume | Waste	разход | харча | прахосвам
付	ふ	つ.ける -つ.ける -づ.ける つ.け つ.け- -つ.け -づ.け -づけ つ.く -づ.く つ.き -つ.き -つき -づ.き -づき	Adhere | Attach | Refer To | Append	прикрепвам | прилагам | принадлежа
施	し せ	ほどこ.す	Give | Bestow | Perform | Alms	давам | извършвам | милостиня
切	せつ さい	き.る -き.る き.り -き.り -ぎ.り き.れる -き.れる き.れ -き.れ -ぎ.れ	Cut | Cutoff | Be Sharp	режа | отрязвам | остър
由	ゆ ゆう ゆい	よし よ.る	Wherefore | A Reason	причина | повод
説	せつ ぜい	と.く	Opinion | Theory | Explanation | Rumor	теория | мнение | обяснение | слух
転	てん	ころ.がる ころ.げる ころ.がす ころ.ぶ まろ.ぶ うたた うつ.る くる.めく	Revolve | Turn Around | Change	въртя се | обръщам се | падам | променям
食	しょく じき	く.う く.らう た.べる は.む	Eat | Food	ям | храна
比	ひ	くら.べる	Compare | Race | Ratio | Philippines	сравнявам | съотношение
難	なん	かた.い -がた.い むずか.しい むづか.しい むつか.しい -にく.い	Difficult | Impossible | Trouble | Accident | Defect	труден | бедствие | неприятност
防	ぼう	ふせ.ぐ	Ward Off | Defend | Protect | Resist	предпазвам | защитавам | предотвратявам
補	ほ	おぎな.う	Supplement | Supply | Make Good | Offset | Compensate | Assistant | Learner	допълвам | компенсирам | снабдявам
車	しゃ	くるま	Car	кола | превозно средство | колело
優	ゆう う	やさ.しい すぐ.れる まさ.る	Tenderness | Excel | Surpass | Actor | Superiority | Gentleness	превъзхождам | актьор | нежен | изящен
夫	ふ ふう ぶ	おっと それ	Husband | Man	съпруг | мъж
研	けん	と.ぐ	Polish | Study Of | Sharpen	точа | шлифовам | изучавам
収	しゅう	おさ.める おさ.まる	Income | Obtain | Reap | Pay | Supply | Store	приход | получавам | събирам
断	だん	た.つ ことわ.る さだ.める	Severance | Decline | Refuse | Apologize | Warn | Dismiss | Prohibit | Decision | Judgement | Cutting	прекъсвам | отказвам | решение | преценка
井	せい しょう	い	Well | Well Crib | Town | Community	кладенец | община
何	か	なに なん なに- なん-	What	какво | колко
南	なん な	みなみ	South	юг
石	せき しゃく こく	いし	Stone	камък
足	そく	あし た.りる た.る た.す	Leg | Foot | Be Sufficient | Counter For Pairs Of Footwear	крак | стъпало | достатъчен | брояч за чифтове обувки
違	い	ちが.う ちが.い ちが.える -ちが.える たが.う たが.える	Difference | Differ	различавам се | разлика | нарушавам | греша
消	しょう	き.える け.す	Extinguish | Blow Out | Turn Off | Neutralize | Cancel	гася | изтривам | изчезвам | отменям
境	きょう けい	さかい	Boundary | Border | Region	граница | предел | обстановка
神	しん じん	かみ かん- こう-	Gods | Mind | Soul	бог | дух | ум
番	ばん	つが.い	Turn | Number In A Series	ред | номер | дежурство
規	き		Standard | Measure	правило | норма | стандарт
術	じゅつ	すべ	Art | Technique | Skill | Means | Trick | Resources | Magic	изкуство | техника | умение | магия
護	ご	まも.る	Safeguard | Protect	защитавам | закрилям
展	てん		Unfold | Expand	разгръщам | разширявам | излагам
態	たい	わざ.と	Attitude | Condition | Figure | Appearance | Voice (of Verbs)	състояние | отношение | вид
導	どう	みちび.く	Guidance | Leading | Conduct | Usher	водя | напътствам | ръководя
鮮	せん	あざ.やか	Fresh | Vivid | Clear | Brilliant | Korea	свеж | ярък | Корея
備	び	そな.える そな.わる つぶさ.に	Equip | Provision | Preparation	подготвям | снабдявам | оборудвам
宅	たく		Home | House | Residence | Our House | My Husband	дом | жилище
害	がい		Harm | Injury	вреда | щета
配	はい	くば.る	Distribute | Spouse | Exile | Rationing	разпределям | раздавам | съпруг, съпруга
副	ふく		Vice- | Assistant | Aide | Duplicate | Copy	заместник | второстепенен | допълнителен
算	さん	そろ	Calculate | Divining | Number | Abacus | Probability	изчислявам | смятам
視	し	み.る	Inspection | Regard As | See | Look At	гледам | разглеждам | зрение | считам за
条	じょう ちょう でき	えだ すじ	Article | Clause | Item | Stripe | Streak	член (на закон) | точка | линия
幹	かん	みき	Tree Trunk | Main Part | Talent | Capability	ствол | основна част | способност
独	どく とく	ひと.り	Single | Alone | Spontaneously | Germany	сам | единствен | Германия
警	けい	いまし.める	Admonish | Commandment	предупреждавам | бдителност | поучавам
宮	きゅう ぐう く くう	みや	Shinto Shrine | Constellations | Palace | Princess	дворец | синтоистки храм | съзвездие
究	きゅう く	きわ.める	Research | Study	изследвам | проучвам задълбочено
育	いく	そだ.つ そだ.ち そだ.てる はぐく.む	Bring Up | Grow Up | Raise | Rear	отглеждам | възпитавам | израствам
席	せき	むしろ	Seat | Mat | Occasion | Place	място за сядане | седалка | случай
輸	ゆ しゅ		Transport | Send | Be Inferior	транспортирам | превозвам
訪	ほう	おとず.れる たず.ねる と.う	Call On | Visit | Look Up | Offer Sympathy	посещавам | навестявам
